village,soil,total_sqft,density,price(*100)
Akhtyarpur,2 index,1056,2,39.07
Alamgirpur-Faridpur,4 index,2600,5,120
Andawali,3 index,1440,2,62
Aterna,3 index,1521,3,95
Atmadnagar Allipur,2 index,1200,2,51
Aurangnagar Rardhana,2 index,1170,2,38
Badruddinnagar Nanu,4 index,2732,4,204
Bahadurpur,4 index,3300,4,600
Bahrala,3 index,1310,3,63.25
Baparsa,6 index,1020,6,370
Baparsi,3 index,1800,2,70
Barkali Nekpur,4 index,2785,5,295
Batjeora,2 index,1000,2,38
Bhalsauna,2 index,1100,2,40
Bhamori,3 index,2250,3,148
Bharota,2 index,1175,2,73.5
Bhawa-Nagla,3 index,1180,3,48
Bhuni,3 index,1540,3,60
Bihta,3 index,2770,4,290
Bubakpur,2 index,1100,2,48
Chandna,1 index,600,1,15
Charla,3 index,1755,3,122
Chhabariya,4 index,2800,5,380
Chhur,3 index,1767,3,103
Chindauritappa Lawar,1 RK,510,1,25.25
Chirori,3 index,1250,3,56
Dabathuwa,2 index,660,1,23.1
Dabathuwa Garhi,3 index,1610,3,81
Dadri,2 index,1151,2,48.77
Dahar,3 index,1025,2,47
Daulatpur,4 index,2100 - 2850,4,186
Daurala (NP),3 index,1075,2,35
Deoli Khera Urf Jainpur,3 index,1760,2,123
Dhanju,3 index,1693,3,57.39
Dhanwali,3 index,1925,3,125
Dulehra Chauhan,2 index,700,2,36
Gesupur Baphawat,2 index,1070,2,45.5
Gotka,3 index,1724,3,125
Harar,3 index,1290,2,56.12
Ikari,2 index,1143,2,45
Jafarnagar-Begamabad,2 index,1296,2,81
Jainpur,3 index,1254,3,38
Jalalabad Urf Jalalpur,1 index,600,1,38
Jalalpur-Akkhepur,1 index,660,1,48
Jamalpur Goma,2 index,1330.74,2,91.79
Jamalpur Jalalpur,8 index,600,9,200
Jasar Sultannagar,2 index,970,2,33
Jasrathpur,2 index,1459,2,94.82
Jeori,2 index,800,1,130
Jhitkari,2 index,869,2,36
Jitpur,2 index,1270,2,50
Julehra,3 index,1670,3,99
Kaili,3 index,2010,3,91
Kailota,2 index,1185,2,75
Kakkepur,3 index,1600,2,75
Kaland,2 index,1200,2,44
Kalandi,4 index,3010 - 3410,,192
Kamaruddinnagar Madhiyai,2 index,1500,2,185
Kanora,6 index,1407,4,150
Kapsarh,2 index,840,2,45
Karnawal (NP),3 index,4395,3,240
Karnawal Rural,2 index,845,2,55
Khanuda,4 index,5700,5,650
Khawajahanpur-Kushawali,2 index,1160,2,44
Khera,8 index,3000,8,140
Kheri Jatran,2 index,1100,2,62
Kheri Kalan,2 index,1140,2,43
Kheri Tappa Lawar,2 index,1220,2,57
Khirwa Jalalpur,8 index,1350,7,85
Khirwa Nauabad,2 index,1005,2,36.68
Khiwai,3 index,500,3,100
Kulanjan,2 index,1358,2,80.58
Lawar (NP),3 index,1569,3,101
Lawar Janaali Rural,2 index,1240,2,70
Lawar Khas Rural,3 index,2089,3,140
Lawri Hiranpur,2 index,1206,2,48.23
Loiya,2 index,1150,2,40
Machhri,3 index,2511,3,205
Madaripur,2 index,460,1,22
Madarpura,6 index,4400,6,250
Mahadeo,3 index,1660,2,105
Mahalka,4 index,2957 - 3450,,224.5
Mail,2 index,1326,2,78
Mainaputhi,3 index,1325,2,60.8
Maithna Indersingh,3 index,1499,5,102
Mamupur Urf Dedwa,6 index,3000,7,210
Mamuri,3 index,1665,3,88
Mandora,2 index,708,2,37
Mataur,2 index,1060,2,58.06
Mawi Mira,6 index,710,6,160
Meharmati Ganeshpur,2 index,1000,2,70
Mithepur,2 index,1000,2,28.88
Mohammadpur Akbarpur Chakbandi,3 index,1450,2,70
Mohammadpur Akbarpur Chakbandi,4 index,1200,4,155
Mohammadpur Hayak,2 index,1296,2,80
Mohanipur,3 index,1540,3,90
Mozamabad-Jwalagarh,4 index,2894,4,245
Mukhtyarpur Nagla,3 index,1330,2,48
Mulhaira,2 index,1200,2,65
Nagla Order,3 index,1200,3,90
Nagla Rathi,3 index,2502,3,138
Nagli Ajar Salempur,2 index,650,1,17
Nagli Mazra Mataur,3 index,2400,2,150
Nagli Sadharan,2 index,1007,2,43
Nahli,2 index,1200,2,50
Nangla Sani,2 index,966,2,49.9
Nehori,3 index,1630,2,98
Pali,3 index,1640,3,229
Panchli Buzurg,2 index,782,2,55.68
Panwari,2 index,1260,2,66.78
Pathauli,3 index,1800,3,120
Pavli Khas,3 index,1413,2,75
Pavli Khurd,2 index,1116,2,51.91
Pithlokhar,3 index,1530,2,45.9
Pohali,4 index,3700,4,225
Rajpur Momin,3 index,2497,3,140
Rasulpur Muradnagar,3 index,1540,2,64
Ratauli,3 index,1436,3,74.75
Rithali,2 index,1100,2,75
Ruhasa,2 index,276,3,23
Sahipur Daurala,3 index,1427,3,120
Sakoti,3 index,2061,3,200
Salawa,4 index,3067 - 8156,4,477
Samaspur,4 index,2650,4,150
Samaspur Surani,3 index,1282,2,68.52
Samoli-Salempur,2 index,1050,2,34
Sardhana (NPP),3 index,1600,3,65
Sardhana (Rural),2 index,945,2,54
Saroli Viran,2 index,1500,2,78
Sarswa,7 index,950,7,115
Sarurpur Khurd,3 index,1870,3,110
Shahpur Pirpur,3 index,1600,3,75
Shahpur Zadid,2 index,880,1,16.5
Siwaya-Jamalullapur,4 index,1200,4,210
Tanda,3 index,1535,3,83
Tandi,2 index,950,2,57
Teharki,2 index,1360,2,65
Ulakhpur,2 index,1042 - 1105,2,54.005
Walidpur,3 index,1280,3,50.4
Zafrabad-Durweshpur,3 index,1260,2,85.05
Afzalpur Pawati,8 index,5000,8,250
Ahara,5 index,3050,5,213
Ajnauli,3 index,1563.05,3,105
Ajrara,2 index,1000,2,60
Alamgir Pur,2 index,1167,2,43.76
Alampur Buzurg,7 index,4000,7,225
Allipur,3 index,1828,3,110
Allipur Jijmana,2 index,890,2,35
Amanullapur,3 index,1612,3,46.74
Amehra Adipur (CT),6 index,1034,5,185
Aminagar Urf Bhurbaral (CT),3 index,1710,4,91.31
Arnawali,2 index,957,2,58
Ataula,3 index,1250,2,44
Atrara,3 index,2795,4,235
Azampur,2 index,1125,2,50
Azizpur,2 index,1020,2,30.6
Badha Girdharpur,2 index,1200,2,50
Badhala Kaithwara,3 index,1735,3,135
Badholi,3 index,2050,3,145
Bafar,4 index,3750,4,760
Bahadurpur,3 index,1350,2,48
Bahchaula,2 index,1063,2,32
Bahrampur Khas,3 index,1904,3,150
Bahrampur Morna,4 index,4200,4,420
Bajaut,3 index,2000,3,175
Banwaripur,2 index,1145 - 1340,2,43.49
Baram,3 index,1425,2,75
Barhanpur,3 index,1500,2,64.5
Basatikri,2 index,1060,2,60
Bhadaura,3 index,1470,2,70
Bhagwanpur,6 index,1300,6,99
Bhagwanpur Chittawan,1 index,450,1,11
Bhagwanpur Khalsa,2 index,1152,2,64.5
Bhavi,3 index,1350,2,56
Bhawanpur,3 index,1550,3,65
Bhurpur,3 index,1500,3,100
Bijoli,5 index,600,3,85
Bohla,1 index,400,1,14
Chak Morna,1 index,705,1,67
Chandora,2 index,770,1,36
Chandsara,2 index,1242,2,51
Chhajmalpur Urf Chhajupur,3 index,1700,3,155
Chhattri,3 index,2144,3,145
Chindori Khas,3 index,1704,3,110
Chindori Patti Dalu,2 index,1070,2,52
Chobla,3 index,1846,3,300
Dalampur,2 index,1340,2,55.7
Damgarhi,2 index,1025,2,46
Datavali Gesupur,2 index,1015 - 1540,2,56.8
Daulatpur Fakhrabad Urf Kayast,2 index,1200,2,52
Dhadra,4 index,2250,4,110
Dhanota,3 index,1550,2,80
Dhikauli,4 index,1200,5,325
Dhilaura,7 index,1800,7,250
Dhindala,2 index,1200,2,60
Dhir Khera,2 index,1327,2,98
Dilwara,2 index,1186,2,58
Dimoli,3 index,1783,3,115
Dungar,3 index,1400,3,56
Durjanpur,2 index,980,2,48
Faizabad Pachgaon,2 index,1285,2,82
Fakharpur Kabatta,3 index,912,2,70
Fatehpur,2 index,1225,2,47.6
Fatehpur Ambkhera,2 index,1075,2,53
Gagaul,3 index,1260,2,54
Gangheri,3 index,1282,2,48.7
Gejha,3 index,1909,3,88
Ghat,2 index,1359,2,87
Govindpur,2 index,1207,2,43.5
Govindpur Urf Ghasauli,4 index,1736,6,190
Gyanpur,4 index,2850,4,428
Hajipur,3 index,1595,3,65
Hasanpur Qadim,3 index,1798,3,89
Hasanpur Razapur,3 index,1475,3,78.29
Idris Pur,3 index,1580,3,100
Ikla,2 index,1295,2,65
Incholi,6 index,3600,6,141
Islamabad Chhilora,1 index,589,1,27
Itayira,3 index,1415,3,78
Jalalpur,3 index,1787,3,98.29
Jalaluddinpur Masoodpur Gawri,3 index,1787,3,125
Jamalpur Majra,3 index,1475,2,90
Jangethi,4 index,2000,4,75.5
Jani Buzurg,2 index,984,2,44.28
Jani Khurd,3 index,1520 - 1740,,74.82
Janjokhar,3 index,2405,4,260
Jasora,2 index,1080,2,72
Jasori,2 index,1500,2,115
Jataula,3 index,1900,3,119
Jatpura,2 index,805,2,22.14
Jithauli,2 index,1153,2,56.4
Johra,2 index,1148,2,60
Jurranpur,2 index,1110,2,55
Kaili,2 index,1100,2,42
Kaithwari,2 index,1290,2,110
Kalanjari,3 index,1500,2,65
Kalina,2 index,1080,2,39
Kalyan Pur,3 index,1933,3,129
Kamalpur,5 index,3500,5,150
Kanauni,2 index,1060,2,60
Kastala Shamshernagar,1 index,645,1,16.45
Kaul,8 index,2600,8,180
Kazamabadgoon,1 index,645,1,16.45
Khajuri,3 index,1644,3,84
Khandawali,2 index,1285,2,72.5
Khanpur,3 index,1200,3,90
Khanpur,2 index,910,2,40
Khardoni Shekhupur,3 index,1577,3,70
Kharkhari,3 index,4050,3,280
Kharkhauda,3 index,2420,3,185
Kharkhoda (NP),2 index,800,1,20
Khaspur,2 index,1060,2,55
Khawajahanpur,2 index,1270,2,93
Khera Balrampur,2 index,900,2,22.5
Kheri Nizd Kalina,2 index,1280,2,69
Kherki Muzakkipur,4 index,1200,2,95
Khwajampur Majra,2 index,1025,2,36
Kinannagar,2 index,1108,2,63
Kishori,5 index,1200,5,170
Kitholi,3 index,3045,3,170
Kudhla,4 index,2900,3,300
Kunkura,3 index,1500,3,75.5
Kurali,2 index,1295,2,43.9
Kuri,2 index,1162,2,59.9
Ladpura,2 index,1035,2,49.2
Laharra,4 index,1600,4,52.8
Lahaurgarh,3 index,1464,3,46
Mahroli,3 index,1866,2,61.58
Makarmatpur Bharapur,2 index,700,1,26
Mamipur,3 index,1804,3,120
Mansabgarh,2 index,913,2,32
Masoori,3 index,1868,3,131
Mau Khas,2 index,883,2,45
Medpur,2 index,900,2,110
Meerut (CB),3 index,1664,2,73.95
Meerut (M Corp.),3 index,2026,3,132
Mehpa,2 index,1210,2,80.9
Mewla,4 index,4111,4,250
Mirpur,3 index,1762,3,91.45
Mirpur Jakhera,3 index,1252,3,55
Mirzapur,2 index,861,2,34.5
Mohd.Pur Gumi,3 index,1420,2,100
Mohdpur Dhumi,6 index,1450,6,250
Mohiuddinpur (CT),3 index,1490,3,78.8
Mohiuddinpur Lalsana,3 index,1075,2,46
Morna,3 index,1425,2,94
Mundali,2 index,1200,2,40
Murlipur Phool,3 index,1280,2,56
Muzaffarnagar Saini,2 index,1084,2,50
Muzakkipur,2 index,1015,2,25.88
Nagla Kaboolpur,2 index,1017,2,51.25
Nagla Kumbha,2 index,1027,2,44
Nagla Mal,2 index,1069,2,45
Nagla Patu,2 index,1349,2,98.2
Nagla Shekhu,2 index,1005,2,50
Nagli Azamabad,2 index,1417,2,75
Nalpur,3 index,1475,3,98
Nanu Fatahpur,2 index,950,2,47
Narahara,4 index,2000,4,120
Narangpur,3 index,880,3,140
Nek,4 index,1863,3,104
Nityanandpur,2 index,1010,2,29.5
Pabla,3 index,1425,2,70
Pachgaon Patti Amar Singh,3 index,1450,3,100
Pachgaon Patti Gopal,3 index,1847,3,105
Pachgaon Patti Sanwal,2 index,1100,2,45
Pachpera,1 index,525,1,26
Paindapur,3 index,1665,3,95
Panchi,4 index,1664,4,65
Panchli Khurd,3 index,1850,3,150
Pastra,2 index,1438,2,100
Patti Kherki,3 index,1560,3,115
Peepli Khera,2 index,1350,2,55.55
Pepla,3 index,1550,3,67
Puth Khas,2 index,1140,2,46.5
Puthri,5 index,1200,5,180
Qasimpur,2 index,850,2,27
Raghunathpur,2 index,1280,2,75
Rajpura,2 index,1170,2,52
Rajpura,2 index,1113,2,51
Rali Chauhan,2 index,1385,2,83.09
Rampur Moti,2 index,1128,2,65
Rasna Mohammadpur Akbarpur,2 index,1200,2,128
Rasulpur Aurangabad,4 index,1200,4,165
Rasulpur Dhantala,3 index,2390,3,415
Rasulpur Dhaulri,4 index,2400,4,400
Rasulpur Marhi,3 index,1464,3,56
Rasulpur Rohta,2 index,1200,2,55
Rasulpur Zahid,2 index,1200,2,52
Rawa,3 index,1150,2,55
Rukanpur,3 index,1645,3,95
